

Starting up round 14:54:33
---------------------
[15:10:30]HREF: 15:10 Artyom Clark (usr:Artyom Clark) || _src_=holder;sendbacktolobby=[0x3000098]
[15:10:33]HREF: 15:10 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:10:36]HREF: 15:10 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:10:45]HREF: 15:10 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=show_preferences
[15:10:46]HREF: 15:10 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=show_preferences
[15:10:46]HREF: 15:10 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=show_preferences
[15:10:46]HREF: 15:10 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=show_preferences
[15:10:47]HREF: 15:10 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=show_preferences
[15:10:47]HREF: 15:10 Das228 (usr:Das228) || Das228 src=[0x30000a0];lobby_choice=show_preferences
[15:10:49]HREF: 15:10 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:11:12]HREF: 15:11 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:11:14]HREF: 15:11 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:11:20]HREF: 15:11 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:11:35]HREF: 15:11 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:11:36]HREF: 15:11 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:11:36]HREF: 15:11 Artyuom (usr:Johnny Vietnam) || The fax machine src=[0x200c697];scan=1
[15:11:36]HREF: 15:11 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:11:36]HREF: 15:11 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:11:36]HREF: 15:11 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:11:37]HREF: 15:11 Artyom Clark (usr:the new player) || The new player src=[0x30000a1];lobby_choice=late_join
[15:11:37]HREF: 15:11 Artyuom (usr:Johnny Vietnam) || The fax machine src=[0x200c697];auth=1
