

Starting up round 14:05:16
---------------------
[14:22:16]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:16]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:16]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:17]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:17]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:18]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:19]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:19]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:20]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:20]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:21]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:21]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:22]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:22]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:22]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:23]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:23]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:24]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:24]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:25]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:26]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:26]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:27]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:28]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:28]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:28]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:29]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:40]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:40]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:41]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:22:42]HREF: 14:22 Exadv13 (usr:Exadv13) || Exadv13 src=[0x300003e];lobby_choice=late_join
[14:23:34]HREF: 14:23 Cremp (usr:Cremp) || Cremp src=[0x3000046];lobby_choice=show_preferences
[14:23:39]HREF: 14:23 Cremp (usr:Cremp) || Cremp src=[0x3000046];lobby_choice=show_preferences
[14:23:54]HREF: 14:23 Cremp (usr:Cremp) || Cremp src=[0x3000046];lobby_choice=show_preferences
[14:23:59]HREF: 14:23 Cremp (usr:Cremp) || _src_=prefs;preference=name;task=input
[14:24:00]HREF: 14:24 SomikTV (usr:SomikTV) || SomikTV src=[0x3000043];lobby_choice=late_join_xeno
[14:24:03]HREF: 14:24 SomikTV (usr:SomikTV) || SomikTV src=[0x3000043];lobby_choice=late_join_xeno
[14:24:05]HREF: 14:24 SomikTV (usr:SomikTV) || SomikTV src=[0x3000043];lobby_choice=late_join
[14:24:06]HREF: 14:24 SomikTV (usr:SomikTV) || SomikTV src=[0x3000043];lobby_choice=late_join
[14:24:07]HREF: 14:24 Cremp (usr:Cremp) || Cremp src=[0x3000046];lobby_choice=show_preferences
[14:24:10]HREF: 14:24 SomikTV (usr:SomikTV) || SomikTV src=[0x3000043];lobby_choice=observe
[14:24:13]HREF: 14:24 Cremp (usr:Cremp) || Cremp src=[0x3000046];lobby_choice=show_preferences
[14:24:16]HREF: 14:24 BlackCrystalic (usr:BlackCrystalic) || /datum/controller/vote src=[0x21000002];vote=custom
[14:24:24]HREF: 14:24 Cremp (usr:Cremp) || Cremp src=[0x3000046];lobby_choice=show_preferences
[14:24:30]HREF: 14:24 Cremp (usr:Cremp) || Cremp src=[0x3000046];lobby_choice=show_preferences
[14:24:36]HREF: 14:24 Cremp (usr:Cremp) || Cremp src=[0x3000046];lobby_choice=late_join
[14:24:50]HREF: 14:24 Sewa (usr:Unknown) || /datum/controller/vote src=[0x21000002];vote=close
[14:24:58]HREF: 14:24 Danik_10p (usr:Danil Olympiskii) || /datum/controller/vote src=[0x21000002];vote=3
[14:24:59]HREF: 14:24 Danik_10p (usr:Danil Olympiskii) || /datum/controller/vote src=[0x21000002];vote=close
[14:25:07]HREF: 14:25 BlackCrystalic (usr:BlackCrystalic) || /datum/controller/vote src=[0x21000002];vote=close
[14:25:11]HREF: 14:25 BlackCrystalic (usr:BlackCrystalic) || /datum/controller/vote src=[0x21000002];vote=close
[14:25:22]HREF: 14:25 EngineerConager (usr:) || Unknown src=[0x300003a];item=body
